text;classificacao
   Catedral de Santo Antônio - Governador Valadares/MG https://t.co/JSbKamIqUJ;0
   Governador Valadares, Minas Gerais https://t.co/B3ThIDJCSf;0
   Governador Valadares, Minas Gerais https://t.co/dPkgzVR2Qw;0
 PSOL vai questionar aumento de vereadores e prefeito de BH na Justiça - Politica - Estado de Minas https://t.co/DMg7BGsek5;-1
 ..E 25% dos mineiros dizem não torcer para time nenhum,mesmo dentro de um estado com Atlético-MG e Cruzeiro. Pq?..  https://t.co/fN5evlLQsR;0
 A gigantesca barba do mal  em destaque no caderno Cultura do Estado de Minas. https://t.co/PxNurIkTlw;0
 BB e governo de Minas travam disputa sobre depósitos judiciais  https://t.co/CnMu2A2Qo5;-1
 com vcs bh fica pequena!  Belo Horizonte (pron. [bɛloɾiˈzõntʃi][10]) é a capital do estado de MG, com uma área de aproximadamente 331 km²;0
 erro desconhecido  é mato! Aliás, é da secretaria estadual de fazenda que tá assim... MG não precisa de dinheiro não, Governador?;-1
 La La Land: Cantando Estações  arrasa no Globo de Ouro - Estado de Minas https://t.co/aQ0NG1bp5f https://t.co/aY3qlrVnTE;0
 La La Land: Cantando Estações  arrasa no Globo de Ouro - Estado de Minas https://t.co/qRI9DCiicc;0
 Los abusos, aun en el estado más sólido, son minas sordas que tarde o temprano estallan  Joseph Sanial-Dubay;0
 Mesmo sem muito dinheiro no caixa o governo de Minas Gerais compra 2 (DOIS) helicópteros.  Dois... Helicópteros... Minas Gerais...  2017 s1;-1
 Modelo de segurança será o nosso legado , diz Cláudio Beato - Politica - Estado de Minas https://t.co/1MqOJo7Nnf;0
 Modelo de segurança será o nosso legado , diz Cláudio Beato - Politica - Estado de Minas https://t.co/kA09mEn4xN;0
 Modelo de segurança será o nosso legado , diz Cláudio Beato - Politica - Estado de Minas https://t.co/S97Khxldiu;0
 O governo federal publicou no dia 27 de dezembro de 2016, a Medida Provisória 764/16 que permite a diferenciação... https://t.co/0DlDpZ9WGz;0
 Polícia Federal acaba de divulgar que encontrou provas no apartamento do Lula, mas só até a 4ª série.  Jornal Estado de Minas;0
 Praia da Estação  lota neste sábado de verão em BH - Gerais - Estado de Minas https://t.co/DpG3CNfZBb;0
 Representando mais uma ferramenta de monitoramento da educação da rede estadual em Minas, a Secretaria de Estado... https://t.co/brsfBqHXlQ;0
 uso de aeronave pertencente ao  Estado de MG, em domingo, p/ fins pessoais,  em claro desvio de finalidade  - https://t.co/WEfv5iLyju;-1
 Alerta - Nome da CEEE é utilizado em golpe no Estado. https://t.co/i5ndsWhXR4 https://t.co/yaEM6s3Z2f;-1
 Afiliada da Globo: Apresentador no AM é demitido após criticar governador… https://t.co/hlH8ITxXig;0
 Caos nos presídios: AM pede apoio à União seis dias após massacre https://t.co/GRv0HkrX3T… https://t.co/YJy2RcSfWZ;0
 Caos nos presídios: Temer e Cármen Lúcia se reúnem para debater crise https://t.co/e34RNvtU7v… https://t.co/8xKwPTOv4C;0
 Crise carcerária: Governo de Roraima pede Força Nacional a Temer https://t.co/wLslS1T6ZI… https://t.co/NK4c5IhNUg;0
 Crise carcerária: Secretário de SP diz haver guerra de facções no país https://t.co/RSf2Tk1VmX… https://t.co/Sonel0f8Xq;0
 Crise política no DF se agrava: Rollemberg exonera vice-governador de cargo… https://t.co/idJfAELeW4  timbeta  rt  brasil;0
 Escalada de violência: Crime organizado no Brasil é disputado por 27… https://t.co/loRe3EfGaF… https://t.co/sSY5liKfMl;0
 Estado afirma não ter sido notificado: Apesar de decisão judicial, reajuste…… https://t.co/IMG9Vxs4nK;0
 Estado de espírito do paulistano:  Voz  do trânsito, buzina reflete pressa,…… https://t.co/hvLy03lyt3;0
 Estados falidos: Parte do PMDB quer barrar vetos de Temer na negociação de…… https://t.co/h9KQvBYlYV;0
 Ex-ministro e outros: Servidores da era PT se mantêm em cargos estratégicos… https://t.co/Q2Nor97ngg  timbeta  rt  brasil;0
 Ex-presidente da Câmara: Justiça suíça vê 'indícios concretos' contra… https://t.co/fwuwi8S4oD… https://t.co/w1W2SaN172;0
 beta  betalab  mg Governo em calamidade financeira: BB avisa Justiça que Minas não tem… https://t.co/CdXt0cvcuY… https://t.co/s8un5iFnQS;-1
 Mais sobre o massacre: PF: Facção tinha 'cela de comando' dentro da prisão… https://t.co/W3Cr89L0dk;0
 Marketing e veto a medidas de Paes: De doação de sangue a capoeira: a 1ª…… https://t.co/xPnt6omym6;0
 Massacre em presídio de Manaus: Governo do AM rebate ministro da Justiça e… https://t.co/MaBb4airMU  timbeta  rt  brasil;0
 Mudanças propostas pelo governo: Reforma libera trabalhar 12 horas alguns…… https://t.co/eIDgx5Ak3n;0
 Muitas páginas de investigação:  QG  da Lava Jato reúne mais de 30 milhões…… https://t.co/pQF48BKPMr;0
 Nos últimos dois anos: Governo pagou R$ 2,4 bi a alvos da Lava Jato https://t.co/KN8C0LcReb… https://t.co/GDQVhjO1Hc;0
 Nova chacina em presídio: PCC matou presos sem facção, diz governo de RR https://t.co/e17QVKbWVV… https://t.co/HJinQ9Y8aT;0
 Onda de violência nos presídios: Governo de Roraima divulga lista oficial…… https://t.co/HLcGf3UtCx;0
 Pede respeito aos direitos dos detentos: Defensoria Pública da União vai ao…… https://t.co/kKbLNKRXfi;0
 Pedido ao STF irritou Meirelles: Governo ameaça suspender aval para… https://t.co/cHJbFIKAOY… https://t.co/uSTdKS5mCn;0
 Reforma no poder da Venezuela: Maduro nomeia novo vice-presidente e troca…… https://t.co/BPMWBODUM2;0
 Revista encontra armas e drogas: Rifle, 42 facas e roteador são achados em…… https://t.co/TlIOyQeKb0;0
 Rio reforçou Operação Praia: Sábado de calor tem confusão e roubo nas… https://t.co/TwU41FTyfq… https://t.co/fSPlWFWWVo;0
 Segundo agentes penitenciários: Presídios do RJ estão em alerta desde… https://t.co/jODEM3J6Y4… https://t.co/gLMfJEuCNS;0
 'Tinha que matar mais': Secretário de Temer deixa cargo após dizer que… https://t.co/ZZm1TCutjz… https://t.co/OoJJ3GcokW;0
 UOL Confere a crise prisional: Gestão privada de presídio não exime… https://t.co/dj5fy2PIwi… https://t.co/wCmH4Qhxt7;0
 UOL Confere: Governo Temer distorce dados econômicos em propaganda de 120…… https://t.co/w4dzb3AgfT;0
 brasilmetropole Saúde mantém estado de atenção e investiga casos de febre amarela https://t.co/HAq4OMqMJK;0
 Cidades Com a alta incidência, a Secretaria de Estado de Saúde mantém alerta para moradores e visitantes de 15... https://t.co/qsntM0quLy;0
 COPINHANAREDEVIDA  Eu e meu pai ligado na copinha pela Rede Vida! SOMOS DE GOVERNADOR VALADARES MG;0
 DefesaAgropecuária  Governo de Minas Gerais aposta nos Arranjos Produtivos Locais  na  RITDA: https://t.co/FzwaAJbcsw;1
 EBC Governo de Minas investiga casos suspeitos de febre amarela e malária no estado https://t.co/SQIpvlLbvY;1
 EducaçãoMG Governo de Minas Gerais reconhece Folias de Reis como Patrimônio Imaterial do Estado.… https://t.co/YvVFinjaLL;0
 ForçaMichael O atacante Michael sofreu um traumatismo craniano após colidir com uma vaca em Minas e está em estado… https://t.co/dja4NqF1ZD;0
 holachilevierneschico jajaja los wns preparados, nada al azar  califa las minas abran estado tan buenas,como para haber asumido el riesgo?;0
 i5gornascimento  i5gornascimento  cristiano UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/NnA9YFp4BP;0
 i5gornascimento  i5gornascimento g1 Corpo em estado de decomposição é encontrado em Poços de Caldas, MG https://t.co/ndVVD6kdly;0
 i5gornascimento  i5gornascimento g1 Prefeito de Aimorés decreta estado de emergência administrativa https://t.co/0Jh7ARbSnk;-1
 i5gornascimento  i5gornascimento g1 Vereadores de Governador Valadares não terão 13º salário em 2017 https://t.co/9dJnmDxEAI;0
 i5gornascimento  i5gornascimento Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/ZcuZugp8dq;0
 i5gornascimento  i5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/FYeEFvieCy;0
 Janeiro,  PartiuFerias, GOVERNADOR VALADARES/MG, Pousada Vale Silvestre EcoPark, Comprar: https://t.co/rNRqRFbUeM… https://t.co/2UyZ6Ojdp7;0
 Janeiro,  PartiuFerias, GOVERNADOR VALADARES/MG, Pousada Vale Silvestre EcoPark, Comprar: https://t.co/rNRqRFbUeM… https://t.co/qw78x6qm7k;0
 METADEdoBRASILpertenceaosPOLÍTICOSaoutraédosBANCOSeEMPRESÁRIOS  Politica - Estado de Minas https://t.co/usvOMucmuq;0
 Microsoft   lumia galera hj descobrir que aqui n estado do rio de janeiro n tem autorizada .(S.PAULO E MINAS ) NAO COMPREI WINDOWS PHONE;0
 Mídia:  Press Release from Business Wire : Consumer Technology ... - Estado de Minas https://t.co/FGoxtwksdM;0
 Mídia:  Press Release from Business Wire : Digital Living Network Alliance - Estado de Minas https://t.co/wj7wMchv8S;0
 Mídia:  Press Release from Business Wire : IBC - Estado de Minas https://t.co/Uy5QuJo8wx;0
 MINAS Postos dos Sine oferecem mais de 1.500 vagas de emprego no estado https://t.co/ZTrZ8MGrRp  Trabalho  Emprego  MG  Oportunidades;0
 Mortalidade por câncer cai 25% em 25 anos nos Estados Unidos - Estado de Minas https://t.co/fsZg1D8WCL;0
 musicagratis Fundação Hospitalar do Estado de Minas Gerais (FHEMIG): A Fundação Hospitalar…… https://t.co/JXxZCenikX;0
 musicagratis Ministério Público de Minas Gerais (Araxá): O Ministério Público do Estado de…… https://t.co/4WqHRHwxOg;0
 musicagratis Prefeitura de Rodeiro: A Prefeitura de Rodeiro, no Estado de Minas Gerais,… https://t.co/kdGlkcQKcG… https://t.co/NyF4ZQiZqm;0
 noticiasdorenan Em calamidade financeira, governo de MG compra dois helicópteros: O… https://t.co/oW6G9hElta;-1
 noticiasdorenan Governo de Minas Gerais reconhece Folias de Reis como Patrimônio Imaterial… https://t.co/AL18Rr45X3;0
 noticiasdorenan Uso de depósitos judiciais pelo governo tem nova polêmica em MG: O Banco… https://t.co/kHuZpKQaj5;-1
 OperacaoBetaLab  TimBeta  Beta  BetaLab  BetaAjudaBeta  BetaSegueBeta UOL: Desastre ambiental em MG: Empresas ped… https://t.co/kwyeKjhtcI;0
 OperacaoBetaLab  TimBeta  Beta  BetaLab  BetaAjudaBeta  BetaSegueBeta UOL: Governo em calamidade financeira: BB a… https://t.co/1rWaHUACqt;0
 OperacaoBetaLab  TimBeta  Beta  BetaLab  BetaAjudaBeta  BetaSegueBeta UOL: Polêmica com filho de Pimentel: Govern… https://t.co/E1EhSA9Ti3;0
 operacaobetalab BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/W6AoFMMsvA  rt  sdv;-1
 PedroMotta visita as memórias da infância na série  FrutosEstranhos da exposição  EstadodaNatureza  Visite:… https://t.co/Fti430VnjI;0
 petralha no governo é isso ai! Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros https://t.co/ZR9N6Gl0KW;-1
 pmdb  pt  tj  tjmg  almg  psdb  pdt O FILHO ACHOU O OUTRO VELHO Em calamidade financeira MG compra 2 helicópteros https://t.co/SXfamLNCqd;-1
 pré_hospitalar homem estado alterado de consciência dificuldade respiratória pressão elevada em supermercado no b são benedito av brasilia;0
 pt  pmdb  pdt  tj  tjmg  stf  almg  pp MAIS UMA DELE ...  BB cobra de Minas R$ 1,5 bilhão em depósitos judiciais https://t.co/yPWflY0U5f;-1
 road  trip  mg  car  gopro   Governador Valadares, Minas Gerais https://t.co/v6LZ557K6d;0
 Supercluster  Oracle (  Secretaria de Estado da Fazenda in Belo Horizonte, MG) https://t.co/Raj2oJz8tq;0
 SUS Minas Gerais recebe recurso máximo disponibilizado pelo Governo Federal para ações da  VigilânciaSanitária… https://t.co/0OrT7R8gMO;1
  convoca coletiva para falar da situação da  FebreAmarela no estado  SaudeMG  GotasSalvadoras https://t.co/TEydsKsvnB;0
